"","Brazil Financial","Brazil Industrial","Brazil Resource","China Financial","China Industrial","China Resource","India Financial","India Industrial","India Resource","Russia Financial","Russia Industrial","Russia Resource","South Africa Financial","South Africa Industrial","South Africa Resource"
"Brazil Financial",1,0.7766,-0.046,0.0668,0.0331,0.0062,0.2626,0.194,0.1026,0.3148,0.1522,0.288,0.1277,0.1086,0.1091
"Brazil Industrial",0.7766,1,-0.0387,0.0786,0.0497,0.0196,0.2738,0.2154,0.1102,0.3414,0.1448,0.3283,0.1112,0.1092,0.1036
"Brazil Resource",-0.046,-0.0387,1,0.0117,-0.0079,0.0285,0.0088,0.0109,0.0007,-0.0113,0.0186,0.018,0.0107,-0.0225,-0.0019
"China Financial",0.0668,0.0786,0.0117,1,0.3629,0.3714,0.091,0.0939,0.151,0.0744,0.0551,0.0739,0.1371,0.1392,0.1009
"China Industrial",0.0331,0.0497,-0.0079,0.3629,1,0.4758,0.0684,0.0446,0.0921,0.0471,0.0398,0.0282,0.0855,0.1125,0.062
"China Resource",0.0062,0.0196,0.0285,0.3714,0.4758,1,0.0384,0.0461,0.1198,0.0456,0.0292,0.0327,0.0808,0.0938,0.0973
"India Financial",0.2626,0.2738,0.0088,0.091,0.0684,0.0384,1,0.6982,0.3099,0.2757,0.1674,0.2773,0.1242,0.1267,0.112
"India Industrial",0.194,0.2154,0.0109,0.0939,0.0446,0.0461,0.6982,1,0.3382,0.2387,0.1252,0.2335,0.1041,0.095,0.0801
"India Resource",0.1026,0.1102,0.0007,0.151,0.0921,0.1198,0.3099,0.3382,1,0.1134,0.1376,0.1124,0.2335,0.2168,0.2161
"Russia Financial",0.3148,0.3414,-0.0113,0.0744,0.0471,0.0456,0.2757,0.2387,0.1134,1,0.2943,0.6963,0.1142,0.1295,0.1443
"Russia Industrial",0.1522,0.1448,0.0186,0.0551,0.0398,0.0292,0.1674,0.1252,0.1376,0.2943,1,0.201,0.1384,0.104,0.1928
"Russia Resource",0.288,0.3283,0.018,0.0739,0.0282,0.0327,0.2773,0.2335,0.1124,0.6963,0.201,1,0.0938,0.085,0.1284
"South Africa Financial",0.1277,0.1112,0.0107,0.1371,0.0855,0.0808,0.1242,0.1041,0.2335,0.1142,0.1384,0.0938,1,0.5133,0.2777
"South Africa Industrial",0.1086,0.1092,-0.0225,0.1392,0.1125,0.0938,0.1267,0.095,0.2168,0.1295,0.104,0.085,0.5133,1,0.3596
"South Africa Resource",0.1091,0.1036,-0.0019,0.1009,0.062,0.0973,0.112,0.0801,0.2161,0.1443,0.1928,0.1284,0.2777,0.3596,1
